time;year;cao_group;avg_std;area_coverage
1940-12-13;1941;0.0;-0.3632495111517395;0.15265866209262435
1940-12-14;1941;0.0;-0.8632627372975296;0.2634158294535653
1940-12-15;1941;0.0;-0.2329445610103654;0.017152658662092625
1940-12-16;1941;0.0;0.4418559804124133;0.0
1941-01-01;1941;1.0;0.40728798975455854;0.0
1941-01-02;1941;1.0;0.5399411536927442;0.0
1941-01-03;1941;1.0;0.7051953007433268;0.0
1941-01-04;1941;1.0;0.34965278897051427;0.0
1941-01-05;1941;1.0;-0.8378985437426737;0.170056358735604
1941-01-14;1941;2.0;-1.1023485248230056;0.274442538593482
1941-01-15;1941;2.0;-0.7349529001027394;0.031119823572653763
1941-01-16;1941;2.0;-0.23628116797554524;0.02621906395491301
1941-01-17;1941;3.0;0.6004352984734682;0.0
1941-01-18;1941;3.0;0.7003541995447703;0.0
1941-01-23;1941;4.0;0.36874269542977656;0.0
1941-01-24;1941;4.0;-0.30061159236834845;0.012987012987012988
1941-01-25;1941;4.0;-0.1100885036855251;0.010046557216368537
1941-01-26;1941;4.0;-0.34151273285406825;0.001470227885322225
1941-02-17;1941;5.0;-0.18701400385678382;0.0
1941-02-18;1941;5.0;-0.595102918517409;0.0078412153883852
1941-02-19;1941;6.0;-1.1384961243899774;0.2450379808870375
1941-02-20;1941;6.0;-1.1481307998855228;0.3812790982602303
1941-12-19;1942;7.0;-0.24272427845861586;0.15853957363391324
1941-12-20;1942;7.0;-1.2197960935301044;0.4013722126929674
1941-12-21;1942;7.0;-1.4743733538758856;0.581230090664053
1941-12-22;1942;7.0;-0.6603610782328715;0.2906150453320265
1941-12-25;1942;8.0;0.6666058035118935;0.0
1941-12-26;1942;8.0;0.22995246894422697;0.0
1941-12-27;1942;8.0;0.1679763236276401;0.0002450379808870375
1941-12-28;1942;8.0;-0.4938074643329674;0.09580985052683166
1941-12-29;1942;8.0;-0.6313677722565508;0.09188924283263906
1941-12-30;1942;8.0;-0.69261595555991;0.0713060524381279
1941-12-31;1942;8.0;-0.07262416231765312;0.0
1942-01-01;1942;8.0;0.17101435409364002;0.0
1942-01-02;1942;8.0;0.4765909179676519;0.0
1942-01-03;1942;8.0;-0.36648238653548626;0.0098015192354815
1942-01-04;1942;8.0;-0.2935559009454291;0.014947316834109287
1942-01-05;1942;8.0;-0.5599184501009645;0.1399166870864984
1942-01-06;1942;8.0;-1.0002628275438368;0.24283263905905417
1942-01-07;1942;8.0;-1.2319213494285983;0.25067385444743934
1942-01-08;1942;8.0;-1.992204871748486;0.8733153638814016
1942-01-09;1942;8.0;-1.4847182154642902;0.48468512619456017
1942-01-10;1942;8.0;-1.3046147558272574;0.37539818671894143
1942-01-11;1942;8.0;-1.3196125506733074;0.3881401617250674
1942-01-13;1942;9.0;-0.7885485124945025;0.10022053418279833
1942-01-14;1942;9.0;-0.5957043076191321;0.0470472923303112
1942-01-16;1942;10.0;-1.1924501578656954;0.37221269296740994
1942-01-17;1942;10.0;-1.1209552640381923;0.3602058319039451
1942-01-19;1942;11.0;0.6610579768511924;0.0
1942-01-20;1942;11.0;0.39760855346630686;0.0
1942-01-21;1942;11.0;0.10188250137068874;0.0
1942-02-03;1942;12.0;-1.5394139377231326;0.5498652291105122
1942-02-04;1942;12.0;-0.9217222592798769;0.2825287919627542
1942-02-05;1942;12.0;0.01922842949261266;0.020828228375398185
1942-02-12;1942;13.0;-0.8561486485533186;0.09654496446949277
1942-02-13;1942;13.0;-0.916732151501693;0.1803479539328596
1942-02-14;1942;14.0;-0.712893182809358;0.030874785591766724
1942-02-15;1942;14.0;-0.40854689227299884;0.0
1942-02-16;1942;14.0;-0.011886406847958797;0.0
1942-02-17;1942;14.0;0.6498270477907643;0.0
1942-02-18;1942;14.0;-0.2845604714182805;0.03160989953442784
1942-02-19;1942;14.0;-0.7466915966713082;0.1457975986277873
1942-02-20;1942;14.0;-1.2290358660357594;0.31732418524871353
1942-02-23;1942;15.0;-0.770949784638241;0.12668463611859837
1942-02-24;1942;15.0;-0.40792591289468355;0.039206076941926
1942-02-26;1942;16.0;-0.11921072820433437;0.027689291840235237
1942-02-27;1942;16.0;0.16386012074001102;0.0
1942-12-04;1943;17.0;-0.4882561239152523;0.09262435677530018
1942-12-05;1943;17.0;-0.23271870035887812;0.046067140406763046
1942-12-19;1943;18.0;-1.5634247671906016;0.6429796618475864
1942-12-20;1943;18.0;-2.281735684215498;0.8708649840725312
1942-12-21;1943;18.0;-2.0028193449992173;0.7211467777505514
1942-12-22;1943;18.0;-0.9086748288231563;0.3785836804704729
1942-12-23;1943;19.0;0.41102650361795845;0.0
1942-12-24;1943;19.0;0.4499644293238378;0.0
1942-12-25;1943;19.0;0.04060911959050071;0.0
1942-12-26;1943;19.0;-0.1052509107781462;0.0
1942-12-29;1943;20.0;0.7060211829230807;0.0
1942-12-30;1943;20.0;0.6681176065875795;0.0
1943-01-01;1943;21.0;-0.2394007043316726;0.006370987503062975
1943-01-02;1943;21.0;-0.47387763260468063;0.00098015192354815
1943-01-14;1943;22.0;-0.4513459365238382;0.05439843175692232
1943-01-15;1943;22.0;0.577016429201231;0.0
1943-01-16;1943;23.0;0.6702974088305881;0.0
1943-01-17;1943;23.0;0.43551052451151706;0.0
1943-01-18;1943;23.0;0.3687684503978492;0.0
1943-01-19;1943;23.0;-0.0855706199134294;0.021808380298946335
1943-01-20;1943;23.0;-1.2687781995287284;0.2641509433962264
1943-01-21;1943;23.0;-1.3734832983221155;0.46875765743690273
1943-01-22;1943;23.0;-1.120258907396755;0.33325165400637097
